City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Soure,BR,81.88,clear sky,-0.7167,-48.5233,Casarão da Amazônia
230,Kavieng,PG,82.04,broken clouds,-2.5744,150.7967,Nusa Island Retreat
231,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
234,Terney,RU,76.91,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
235,San Patricio,US,85.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
236,Correntina,BR,84.72,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
239,Borba,BR,85.6,clear sky,-4.3878,-59.5939,Hotel da Amazônia
240,Kanbe,MM,77.05,light rain,16.7053,96.0017,CBT Mingalar Bar Bio Garden
242,Mont-De-Marsan,FR,89.28,scattered clouds,44.0,-0.6667,Le moulin vieux
244,Kapoeta,SS,81.73,light rain,4.7717,33.5903,Eastgate Hotel
246,Conceicao Do Araguaia,BR,86.13,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
253,Ponta Do Sol,PT,85.71,clear sky,32.6667,-17.1,Hotel do Campo
256,Lata,PT,86.49,clear sky,40.1629,-8.3327,Casa Maquia
257,Marzuq,YE,88.54,scattered clouds,14.4,46.4667,
258,Ligayan,PH,84.54,scattered clouds,4.6533,119.4706,
259,Porto Santo,PT,80.51,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
260,Marianske Lazne,CZ,75.85,clear sky,49.9646,12.7012,Falkensteiner Spa Resort Mariánské Lázně
263,Gangakher,IN,85.39,overcast clouds,18.95,76.75,AVM Consultancy
266,Bonthe,SL,81.21,light rain,7.5264,-12.505,Bonthe Holiday Village
267,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
268,Mangan,IN,77.56,overcast clouds,27.5167,88.5333,Hotel Mout View
269,Saint George,US,84.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
272,Port Arthur,CN,77.22,clear sky,38.8,121.2667,Friendship Hotel
273,Bontang,ID,79.56,few clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
274,Indramayu,ID,81.73,few clouds,-6.3264,108.32,Grand Trisula Hotel
276,Pringsewu,ID,75.0,broken clouds,-5.3582,104.9744,Urban Style by Front One
278,Murwara,IN,79.92,moderate rain,23.85,80.4,HOTEL BRIJWASI ROYAL
281,Piacabucu,BR,79.41,few clouds,-10.4056,-36.4344,Piaçabuçu News
283,Akyab,MM,82.56,overcast clouds,20.15,92.9,Hotel Memory
284,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
285,Kijang,KR,80.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
291,Nandigama,IN,82.2,overcast clouds,16.7833,80.3,Radisson
292,Socorro,US,79.07,broken clouds,31.6546,-106.3033,guarderia imss papalote
294,Kieta,PG,79.45,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
295,Mitsamiouli,KM,77.23,light rain,-11.3847,43.2844,Foyer ADM
296,Jurm,AF,80.02,overcast clouds,36.8648,70.8342,
299,Tabuk,PH,76.17,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
305,Dakar,SN,88.68,broken clouds,14.6937,-17.4441,Redface Studios Meublés
308,Salinopolis,BR,84.78,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
312,Kamogawa,JP,82.06,broken clouds,35.1,140.1,Kamogawa Grand Hotel
314,Gauribidanur,IN,79.52,overcast clouds,13.6111,77.5167,Shantala Comforts
318,Buala,SB,80.4,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
322,Namibe,AO,77.63,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
323,Bardiyah,LY,82.08,clear sky,31.7561,25.0865,بورتو بردية
325,Lixourion,GR,84.06,few clouds,38.2019,20.4314,Hotel Summery
327,Saint-Francois,FR,83.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
328,Can Tho,VN,80.58,scattered clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
330,Rongcheng,CN,75.74,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
331,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
332,Biak,ID,76.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
337,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
339,Santa Isabel Do Rio Negro,BR,84.33,few clouds,-0.4139,-65.0192,Hotel GSA
340,Aragarcas,BR,83.05,clear sky,-15.8975,-52.2508,Hotel Pousada Tropical
344,Glendale,US,89.49,clear sky,33.5387,-112.186,Gaslight Inn
347,Isangel,VU,75.54,broken clouds,-19.55,169.2667,Tanna Lodge
353,Gonzales,US,82.38,clear sky,30.2385,-90.9201,Hampton Inn Gonzales
361,Bandarbeyla,SO,80.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
366,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
367,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
369,Oxelosund,SE,79.79,clear sky,58.6706,17.1015,Stjärnholms Slott
371,Coruripe,BR,79.83,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
373,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
377,Zhanjiang,CN,81.97,light rain,21.2815,110.3427,创业旅店
378,Jhargram,IN,88.86,overcast clouds,22.45,86.9833,Sarada Hotel
379,Komsomolskiy,UZ,84.92,overcast clouds,40.4272,71.7189,Ikathouse
380,Banda Aceh,ID,79.68,overcast clouds,5.5577,95.3222,Sulthan Hotel International
384,Taywarah,AF,79.95,overcast clouds,33.35,64.4167,
386,Leh,IN,76.93,clear sky,34.1667,77.5833,Hotel Ladakh Greens
389,Mazagao,BR,86.05,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
391,Westport,US,77.49,overcast clouds,41.1415,-73.3579,The Westport Inn
392,Jilib,SO,84.56,few clouds,0.4883,42.7854,
397,Khani,GE,85.57,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
398,Pangkalanbuun,ID,75.56,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
399,Vanimo,PG,77.92,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
400,Baleshwar,IN,88.61,overcast clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
401,Pula,HR,81.16,clear sky,44.8683,13.8481,Park Plaza Histria Pula
402,Ambilobe,MG,77.32,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
403,Oktyabrskiy,RU,83.66,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
408,Pagudpud,PH,77.59,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
410,Nieves,PH,77.49,overcast clouds,15.3274,120.9485,Bill's Inn
411,Carora,VE,85.86,clear sky,10.1755,-70.0827,Hotel Irpinia
412,Ganzhou,CN,76.96,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
413,Seoul,KR,83.8,broken clouds,37.5683,126.9778,롯데호텔 서울
420,Trairi,BR,87.82,overcast clouds,-3.2778,-39.2689,janelas do mar
423,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
425,Edea,CM,83.98,light rain,3.8,10.1333,Micotel Hotel
426,Pulo,PH,81.07,overcast clouds,15.246,120.9285,HK Rest House
427,Faanui,PF,79.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
429,Srandakan,ID,76.24,few clouds,-7.9386,110.2506,Puri Brata
431,Pavlohrad,UA,86.97,overcast clouds,48.5167,35.8667,Kompleks Stylʹ
435,Watertown,US,76.53,mist,42.3709,-71.1828,Sonesta International Hotels Corporation
440,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
441,Saint-Denis,FR,85.28,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
442,Celestun,MX,79.52,few clouds,20.8667,-90.4,Posada Lilia
443,Skibbereen,IE,75.0,overcast clouds,51.55,-9.2667,The West Cork Hotel
445,Aksu,CN,88.23,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
446,Itarema,BR,87.73,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
448,Peseux,CH,79.12,few clouds,46.987,6.889,Hôtel Touring
452,Nantucket,US,77.34,overcast clouds,41.2835,-70.0995,Jared Coffin House
456,Lasa,IT,80.51,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
457,Soto La Marina,MX,79.43,clear sky,23.7667,-98.2167,Hotel Chicago
462,Muroto,JP,78.1,overcast clouds,33.2833,134.15,Oota Ryokan
463,Dutse,NG,86.81,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
464,Hami,CN,80.83,overcast clouds,42.8,93.45,Laoyutang Resort
465,Menongue,AO,79.95,clear sky,-14.6585,17.691,Ritz Lauca
471,Lodwar,KE,86.56,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
473,Avera,US,80.47,overcast clouds,33.194,-82.5271,
475,Takoradi,GH,81.05,scattered clouds,4.8845,-1.7554,Raybow International Hotel
476,Chaozhou,CN,85.86,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
479,Champerico,GT,88.36,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
482,Prachuap Khiri Khan,TH,75.78,overcast clouds,12.2167,99.75,สมบัติยาย
487,Boda,CF,77.02,moderate rain,4.3189,17.4695,
488,Kpandu,GH,80.62,broken clouds,6.9954,0.2931,Emo House
489,Brigantine,US,80.33,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
490,Chazuta,PE,76.05,broken clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
491,Bonavista,CA,75.2,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
496,Harrisonburg,US,77.23,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
502,Garwolin,PL,84.67,broken clouds,51.8975,21.6147,Hotel & Restauracja Sulbin
507,Bac Lieu,VN,76.78,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
509,Zolotkovo,RU,86.05,overcast clouds,55.5281,41.1053,
510,Muscat,OM,89.62,clear sky,23.6139,58.5922,Mutrah Hotel
512,Sarangani,PH,84.22,overcast clouds,5.4033,125.4636,Ballistic Islet
518,Manggar,ID,81.25,overcast clouds,-2.8833,108.2667,Guest Hotel
520,Maiduguri,NG,84.4,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
521,Labuhan,ID,78.98,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
523,Tezu,IN,78.13,overcast clouds,27.9167,96.1667,Circuit House
524,Morehead,US,76.14,broken clouds,37.2711,-87.1764,CCI Express Inn
528,Surdulica,RS,77.68,light rain,42.6906,22.1708,Apartmani Park 2016
529,Linqing,CN,77.43,light rain,36.8456,115.7117,Dongfang Hotel
530,Jvari,GE,89.85,clear sky,42.7169,42.052,Savanna House
531,Bol,TD,79.03,broken clouds,13.4586,14.7147,Hotel 3 Etoiles
532,Ojinaga,MX,82.42,clear sky,29.5667,-104.4167,Suites Las Palmas
533,Ostashkov,RU,75.94,overcast clouds,57.1467,33.1075,Ashkhen
534,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
535,Las Cruces,US,78.39,scattered clouds,32.3123,-106.7783,Days End Lodge
536,Manokwari,ID,76.37,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
537,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
540,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
541,Ranong,TH,84.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
543,Tagusao,PH,80.35,overcast clouds,9.1924,117.8141,Toledo
544,Vieques,PR,85.89,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
545,Kaduna,NG,81.05,light rain,10.5222,7.4383,HAMDALA HOTEL
546,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
551,Spring Hill,US,84.97,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
552,Tucuma,BR,82.56,clear sky,-0.1833,-50.05,
562,Sinnamary,GF,83.71,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
564,Tikamgarh,IN,87.33,moderate rain,24.745,78.8333,White House
565,Shenjiamen,CN,77.81,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
566,Carauari,BR,84.78,clear sky,-4.8828,-66.8958,Hotel Fellip
568,Kapit,MY,77.79,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
569,Mayumba,GA,75.31,few clouds,-3.432,10.6554,LIKWALE LODGE
570,Vila,PT,86.74,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
571,Marsa Matruh,EG,84.4,scattered clouds,31.3525,27.2453,Beau Site
573,Wagar,SD,80.47,overcast clouds,16.1525,36.2032,
574,Dicabisagan,PH,80.28,light rain,17.0818,122.4157,Nancy Montanes Bernardo
576,Huilong,CN,80.98,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
577,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
580,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
581,San Policarpo,PH,79.5,overcast clouds,12.1791,125.5072,JM Lodge
582,Eyl,SO,83.08,overcast clouds,7.9803,49.8164,Amiin Hotel
583,Malanje,AO,82.78,broken clouds,-9.5402,16.341,Malanje Hotel
587,Khromtau,KZ,88.02,few clouds,50.2503,58.4347,Придорожный сервис Кең Дала
588,Shunyi,CN,78.84,overcast clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
592,Vucje,RS,76.39,overcast clouds,42.8653,21.9114,Stamenkovic
593,Uvira,CD,78.12,overcast clouds,-3.4067,29.1458,Hotel Suzana
594,Gizo,SB,81.86,moderate rain,-8.103,156.8419,Imagination Island
595,Hirara,JP,83.68,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
596,Lappeenranta,FI,81.55,moderate rain,61.0587,28.1887,Original Sokos Hotel Lappee
597,Clovis,US,82.67,scattered clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
600,Cayenne,GF,87.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
604,Fastiv,UA,87.71,few clouds,50.0767,29.9177,Kiev accommodation in the center of Kiev
606,Tefe,BR,82.51,clear sky,-3.3542,-64.7114,Aracati Hotel
607,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
609,Anamur,TR,87.82,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
611,Linhares,BR,84.42,clear sky,-19.3911,-40.0722,Hotel Conceição
614,Baculin,PH,79.92,overcast clouds,7.4525,126.5842,Shovy's Cove
619,Maryville,US,75.11,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
625,Kibala,TD,89.55,scattered clouds,9.1104,18.3463,hotel safari
626,Colares,PT,82.08,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
628,Mbuji-Mayi,CD,85.19,overcast clouds,-6.15,23.6,GKT Hotel
631,Benghazi,LY,81.48,few clouds,32.1167,20.0667,Tibesti Hotel
637,Tutoia,BR,84.29,few clouds,-2.7619,-42.2744,Pousada Guará's
638,Jerantut,MY,77.83,broken clouds,3.936,102.3626,Jerantut Hill Resort
640,Saurimo,AO,85.78,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
642,The Valley,AI,85.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
644,Passo De Camaragibe,BR,78.35,few clouds,-9.2368,-35.4901,Chácara vovó candinha
650,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
653,Meiringen,CH,80.38,broken clouds,46.7268,8.184,Das Hotel Sherlock Holmes
658,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
661,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
663,Van Wert,US,75.13,clear sky,40.8695,-84.5841,"Holiday Inn Express & Suites Van Wert, an IHG Hotel"
664,Harindanga,IN,89.58,heavy intensity rain,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
667,Fafe,PT,86.72,clear sky,41.4542,-8.168,Flag Hotel Guimarães Fafe
671,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
674,Port Hawkesbury,CA,78.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
675,Pizarro,CO,77.58,moderate rain,4.9533,-77.366,Hotel Limonar
676,Lielvarde,LV,84.43,few clouds,56.7207,24.8074,Baltu Ozols
677,Lukuledi,TZ,84.11,few clouds,-10.5667,38.8,
678,Sinop,TR,85.17,clear sky,41.7711,34.8709,
681,Yarada,IN,86.32,scattered clouds,17.65,83.2667,Jeevan
682,Am Timan,TD,87.19,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
