City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ovar,PT,40.8586,-8.6251,74.19,77,75,10.36,broken clouds
79,Wenling,CN,28.3669,121.36,78.19,86,100,2.08,overcast clouds
80,Nikolskoye,RU,59.7035,30.7861,82.29,28,12,10.85,few clouds
81,Luderitz,NA,-26.6481,15.1594,81.61,24,0,4.05,clear sky
82,Longyearbyen,SJ,78.2186,15.6401,40.84,100,90,8.05,light intensity drizzle
83,La Asuncion,VE,11.0333,-63.8628,89.33,62,0,12.66,clear sky
84,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,40,3.44,scattered clouds
85,Kaeo,NZ,-35.1,173.7833,54.32,94,100,16.22,overcast clouds
86,Chanika,TZ,-5.4167,38.0167,75.52,46,100,8.23,overcast clouds
87,Inverness,GB,57.4791,-4.224,69.71,61,20,5.01,few clouds
88,Cherskiy,RU,68.75,161.3,45.91,61,100,4.5,overcast clouds
89,Port-Gentil,GA,-0.7193,8.7815,80.56,69,40,9.22,scattered clouds
90,Dongsheng,CN,39.8161,109.9776,80.82,33,0,7.74,clear sky
91,Anupgarh,IN,29.1911,73.2086,106.02,30,100,17.54,overcast clouds
92,Lavrentiya,RU,65.5833,-171.0,43.86,97,100,7.87,overcast clouds
93,Karaton,ID,-6.3424,106.1045,82.33,81,15,2.28,few clouds
94,Atambua,ID,-9.1061,124.8925,70.12,79,65,4.56,broken clouds
95,Pisco,PE,-13.7,-76.2167,61.02,88,90,2.3,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,35.53,89,100,7.31,overcast clouds
97,Touros,BR,-5.1989,-35.4608,81.5,69,80,14.58,broken clouds
98,Mahebourg,MU,-20.4081,57.7,73.26,83,75,11.5,broken clouds
99,East London,ZA,-33.0153,27.9116,70.74,49,0,13.8,clear sky
100,Moerai,PF,-22.4333,-151.3333,73.87,81,100,30.89,light rain
101,Osa,RU,57.2829,55.4567,77.68,53,97,5.37,overcast clouds
102,Pevek,RU,69.7008,170.3133,35.56,85,100,2.19,overcast clouds
103,Constitucion,CL,-35.3333,-72.4167,45.45,56,0,6.64,clear sky
104,New Norfolk,AU,-42.7826,147.0587,50.58,83,100,3.0,overcast clouds
105,Castro,BR,-24.7911,-50.0119,50.23,67,10,10.69,clear sky
106,Praia,CV,14.9215,-23.5087,82.94,61,0,13.8,clear sky
107,Xining,CN,36.6167,101.7667,58.26,84,12,3.69,few clouds
108,Bluff,NZ,-46.6,168.3333,45.86,87,95,11.1,overcast clouds
109,Oranjemund,NA,-28.55,16.4333,79.86,23,0,16.02,clear sky
110,Khandbari,NP,27.3747,87.2039,75.18,93,91,0.83,overcast clouds
111,Geraldton,AU,-28.7667,114.6,57.61,88,75,3.44,broken clouds
